codigo;produto;familia;contextos;proteina_padrao;setor_default;revisar_setor
1405;PICLES DE PEPINO-AC;Outros;Outros | Peixaria / Proteínas | Poke Kauai;;POKE;NÃO
1349;POKE - ATUM - AC 6 SIDES;Poke Kauai;Poke Kauai;Atum para sashimi;POKE;NÃO
1348;POKE - CAMARÃO - AC 6 SIDES;Poke Kauai;Peixaria / Proteínas | Poke Kauai;Camarão 31/40;POKE;NÃO
1347;POKE - COGUMELOS - AC 6 SIDES;Poke Kauai;Poke Kauai;;POKE;NÃO
1433;POKE - FILÉ MIGNON - AC 6 SIDES;Poke Kauai;Poke Kauai;;POKE;NÃO
1343;POKE - FRANGO CROCANTE - AC 6 SIDES;Poke Kauai;Poke Kauai;;POKE;NÃO
1344;POKE - FRANGO GRILL - AC 6 SIDES;Poke Kauai;Poke Kauai;;POKE;NÃO
1475;POKE - MONTE O SEU:;Poke Kauai;Poke Kauai;;POKE;NÃO
1345;POKE - PORK BBQ - AC 6 SIDES;Poke Kauai;Poke Kauai;;POKE;NÃO
1431;POKE - SALMÃO - AC 6 SIDES;Poke Kauai;Peixaria / Proteínas | Poke Kauai;Salmão inteiro fresco;POKE;NÃO
1432;POKE - SALMÃO MAÇARICADO- AC 6 SIDES;Poke Kauai;Poke Kauai;Salmão inteiro fresco;POKE;NÃO
5001;POKE DE ATUM;Poke Kauai;Poke Kauai;Atum para sashimi;POKE;NÃO
801;POKE DE ATUM;Poke Kauai;Poke Kauai;Atum para sashimi;POKE;NÃO
5003;POKE DE CAMARÃO;Poke Kauai;Poke Kauai;Camarão 31/40;POKE;NÃO
803;POKE DE CAMARÃO;Poke Kauai;Poke Kauai;Camarão 31/40;POKE;NÃO
5769;POKE DE CEVICHE;Poke Kauai;Poke Kauai;;POKE;NÃO
5465;POKE DE CEVICHE-LJDN;Poke Kauai;Poke Kauai;;POKE;NÃO
5000;POKE DE SALMÃO;Poke Kauai;Poke Kauai;Salmão inteiro fresco;POKE;NÃO
800;POKE DE SALMÃO;Poke Kauai;Poke Kauai;Salmão inteiro fresco;POKE;NÃO
5002;POKE DE SALMÃO PREMIUM;Poke Kauai;Poke Kauai;Salmão inteiro fresco;POKE;NÃO
802;POKE DE SALMÃO PREMIUM;Poke Kauai;Poke Kauai;Salmão inteiro fresco;POKE;NÃO
5709;POKE GD MIX COGUMELOS;Poke Kauai;Rodízio;;POKE;NÃO
5705;POKE GD SALMAO;Poke Kauai;Rodízio;Salmão inteiro fresco;POKE;NÃO
5704;POKE MD SALMAO;Poke Kauai;Rodízio;Salmão inteiro fresco;POKE;NÃO
5005;POKE MIX DE COGUMELO;Poke Kauai;Poke Kauai;;POKE;NÃO
805;POKE MIX DE COGUMELO;Poke Kauai;Poke Kauai;;POKE;NÃO
5004;POKE MIX DE SALMÃO E CAMARÃO;Poke Kauai;Poke Kauai;Salmão inteiro fresco;POKE;NÃO
804;POKE MIX DE SALMÃO E CAMARÃO;Poke Kauai;Poke Kauai;Salmão inteiro fresco;POKE;NÃO
5715;POKE PQ ATUM;Poke Kauai;Rodízio;Atum para sashimi;POKE;NÃO
5718;POKE PQ CEVICHE;Poke Kauai;Rodízio;;POKE;NÃO
5703;POKE PQ SALMAO;Poke Kauai;Rodízio;Salmão inteiro fresco;POKE;NÃO
5723;POKES GD;Poke Kauai;Rodízio;;POKE;NÃO
5722;POKES MD;Poke Kauai;Rodízio;;POKE;NÃO
5721;POKES PQ;Poke Kauai;Rodízio;;POKE;NÃO
5675;POLVO (DUPLA)- SUSHI;Sushi / Japonês;Rodízio;Polvo inteiro;SUSHI_BAR;NÃO
5801;POPICA DE CAMARAO PREMIUM-RDZ;Rodízio;Rodízio;Camarão 31/40;SUSHI_BAR;SIM
